Time,Total documents in group,Topic,Fractional documents in topic in group
107,2,Topic 06,0.18
107,2,Topic 07,0.26
107,2,Topic 08,0.0
107,2,Topic 09,0.0
107,2,Topic 10,0.0
107,2,Topic 11,0.18
107,2,Topic 12,0.2
107,2,Topic 13,0.13999999999999999
107,2,Topic 14,0.0
107,2,Topic 15,0.0
107,2,Topic 16,0.0
107,2,Topic 17,0.02
107,2,Topic 18,0.0
107,2,Topic 19,0.0
107,2,Topic 20,0.0
107,2,Topic 21,0.1
107,2,Topic 22,0.0
107,2,Topic 23,0.0
107,2,Topic 24,0.04
107,2,Topic 25,0.24
107,2,Topic 26,0.0
107,2,Topic 27,0.0
107,2,Topic 28,0.0
107,2,Topic 29,0.18
109,7,Topic 00,0.4111111111111111
109,7,Topic 01,0.022222222222222223
109,7,Topic 02,0.6766666666666666
109,7,Topic 03,0.022222222222222223
109,7,Topic 04,0.07777777777777778
109,7,Topic 05,0.49666666666666665
109,7,Topic 06,0.25
109,7,Topic 07,0.0
109,7,Topic 08,0.1911111111111111
109,7,Topic 09,0.0
109,7,Topic 10,0.21666666666666667
109,7,Topic 11,0.02
109,7,Topic 12,0.1111111111111111
109,7,Topic 13,0.016666666666666666
109,7,Topic 14,0.5333333333333333
109,7,Topic 15,0.05555555555555555
109,7,Topic 16,0.0
109,7,Topic 17,0.761111111111111
109,7,Topic 18,0.05333333333333333
109,7,Topic 19,0.4066666666666667
109,7,Topic 20,0.48333333333333334
109,7,Topic 21,0.05333333333333333
109,7,Topic 22,0.11666666666666667
109,7,Topic 23,0.0
109,7,Topic 24,0.0
109,7,Topic 25,0.0
109,7,Topic 26,0.78
109,7,Topic 27,0.9722222222222222
109,7,Topic 28,0.2222222222222222
109,7,Topic 29,0.049999999999999996
110,1,Topic 00,0.0
110,1,Topic 01,0.0
110,1,Topic 02,0.0
110,1,Topic 03,0.08
110,1,Topic 04,0.1
110,1,Topic 05,0.0
110,1,Topic 06,0.0
110,1,Topic 07,0.0
110,1,Topic 08,0.1
110,1,Topic 09,0.0
110,1,Topic 10,0.0
110,1,Topic 11,0.0
110,1,Topic 12,0.06
110,1,Topic 13,0.0
110,1,Topic 14,0.12
110,1,Topic 15,0.0
110,1,Topic 16,0.0
110,1,Topic 17,0.2
110,1,Topic 18,0.0
110,1,Topic 19,0.0
110,1,Topic 20,0.0
110,1,Topic 21,0.0
110,1,Topic 22,0.2
110,1,Topic 23,0.0
110,1,Topic 24,0.0
110,1,Topic 25,0.02
110,1,Topic 26,0.0
110,1,Topic 27,0.12
110,1,Topic 28,0.0
110,1,Topic 29,0.0
111,1,Topic 00,0.0
111,1,Topic 01,0.03333333333333333
111,1,Topic 02,0.016666666666666666
111,1,Topic 03,0.0
111,1,Topic 04,0.0
111,1,Topic 05,0.016666666666666666
111,1,Topic 06,0.15
111,1,Topic 07,0.0
111,1,Topic 08,0.0
111,1,Topic 09,0.0
111,1,Topic 10,0.0
111,1,Topic 11,0.16666666666666666
111,1,Topic 12,0.0
111,1,Topic 13,0.15
111,1,Topic 14,0.0
111,1,Topic 15,0.0
111,1,Topic 16,0.0
111,1,Topic 17,0.0
111,1,Topic 18,0.0
111,1,Topic 19,0.11666666666666665
111,1,Topic 20,0.0
111,1,Topic 21,0.0
111,1,Topic 22,0.35
111,1,Topic 23,0.0
111,1,Topic 24,0.0
111,1,Topic 25,0.0
111,1,Topic 26,0.0
111,1,Topic 27,0.0
111,1,Topic 28,0.0
111,1,Topic 29,0.0
112,1,Topic 00,0.0
112,1,Topic 01,0.0
112,1,Topic 02,0.02
112,1,Topic 03,0.38
112,1,Topic 04,0.0
112,1,Topic 05,0.0
112,1,Topic 06,0.0
112,1,Topic 07,0.2
112,1,Topic 08,0.0
112,1,Topic 09,0.0
112,1,Topic 10,0.02
112,1,Topic 11,0.0
112,1,Topic 12,0.0
112,1,Topic 13,0.0
112,1,Topic 14,0.0
112,1,Topic 15,0.0
112,1,Topic 16,0.0
112,1,Topic 17,0.0
112,1,Topic 18,0.0
112,1,Topic 19,0.16
112,1,Topic 20,0.0
112,1,Topic 21,0.0
112,1,Topic 22,0.0
112,1,Topic 23,0.0
112,1,Topic 24,0.2
112,1,Topic 25,0.0
112,1,Topic 26,0.02
112,1,Topic 27,0.0
112,1,Topic 28,0.0
112,1,Topic 29,0.0
113,4,Topic 00,0.15333333333333332
113,4,Topic 01,0.16
113,4,Topic 02,0.0
113,4,Topic 03,0.0
113,4,Topic 04,0.08
113,4,Topic 05,0.0
113,4,Topic 06,0.19999999999999998
113,4,Topic 07,0.04
113,4,Topic 08,0.16999999999999998
113,4,Topic 09,0.0
113,4,Topic 10,0.02
113,4,Topic 11,0.016666666666666666
113,4,Topic 12,0.35333333333333333
113,4,Topic 13,0.02
113,4,Topic 14,0.8300000000000001
113,4,Topic 15,0.02
113,4,Topic 16,0.1
113,4,Topic 17,0.0
113,4,Topic 18,0.0
113,4,Topic 19,0.12
113,4,Topic 20,0.3333333333333333
113,4,Topic 21,0.22
113,4,Topic 22,0.0
113,4,Topic 23,0.16666666666666666
113,4,Topic 24,0.26999999999999996
113,4,Topic 25,0.2833333333333333
113,4,Topic 26,0.13666666666666666
113,4,Topic 27,0.0
113,4,Topic 28,0.13666666666666666
113,4,Topic 29,0.16999999999999998
114,1,Topic 00,0.0
114,1,Topic 01,0.0
114,1,Topic 02,0.0
114,1,Topic 03,0.0
114,1,Topic 04,0.0
114,1,Topic 05,0.0
114,1,Topic 06,0.0
114,1,Topic 07,0.0
114,1,Topic 08,0.0
114,1,Topic 09,0.0
114,1,Topic 10,0.02
114,1,Topic 11,0.0
114,1,Topic 12,0.0
114,1,Topic 13,0.2
114,1,Topic 14,0.0
114,1,Topic 15,0.0
114,1,Topic 16,0.0
114,1,Topic 17,0.0
114,1,Topic 18,0.0
114,1,Topic 19,0.5
114,1,Topic 20,0.0
114,1,Topic 21,0.0
114,1,Topic 22,0.0
114,1,Topic 23,0.1
114,1,Topic 24,0.0
114,1,Topic 25,0.18
114,1,Topic 26,0.0
114,1,Topic 27,0.0
114,1,Topic 28,0.0
114,1,Topic 29,0.0
115,6,Topic 00,0.6000000000000001
115,6,Topic 01,0.02
115,6,Topic 02,0.26
115,6,Topic 03,0.02
115,6,Topic 04,0.0
115,6,Topic 05,0.02
115,6,Topic 06,0.21666666666666667
115,6,Topic 07,0.0
115,6,Topic 08,0.06
115,6,Topic 09,0.0
115,6,Topic 10,0.0
115,6,Topic 11,0.48
115,6,Topic 12,0.7466666666666667
115,6,Topic 13,0.18
115,6,Topic 14,0.5
115,6,Topic 15,0.19
115,6,Topic 16,0.016666666666666666
115,6,Topic 17,0.0
115,6,Topic 18,0.3466666666666667
115,6,Topic 19,0.16
115,6,Topic 20,0.4166666666666667
115,6,Topic 21,0.02
115,6,Topic 22,0.0
115,6,Topic 23,0.02
115,6,Topic 24,0.45999999999999996
115,6,Topic 25,0.4066666666666666
115,6,Topic 26,0.76
115,6,Topic 27,0.04
115,6,Topic 28,0.06
115,6,Topic 29,0.0
117,3,Topic 00,0.0125
117,3,Topic 01,0.0375
117,3,Topic 02,0.075
117,3,Topic 03,0.0
117,3,Topic 04,0.025
117,3,Topic 05,0.0
117,3,Topic 06,0.0
117,3,Topic 07,0.0
117,3,Topic 08,0.0125
117,3,Topic 09,0.2
117,3,Topic 10,0.125
117,3,Topic 11,0.3375
117,3,Topic 12,0.1375
117,3,Topic 13,0.0625
117,3,Topic 14,0.0
117,3,Topic 15,0.0
117,3,Topic 16,0.6
117,3,Topic 17,0.0625
117,3,Topic 18,0.0875
117,3,Topic 19,0.0325
117,3,Topic 20,0.0125
117,3,Topic 21,0.0
117,3,Topic 22,0.1125
117,3,Topic 23,0.2
117,3,Topic 24,0.15
117,3,Topic 25,0.1125
117,3,Topic 26,0.26749999999999996
117,3,Topic 27,0.0
117,3,Topic 28,0.0125
117,3,Topic 29,0.325
118,4,Topic 00,0.0
118,4,Topic 01,0.0
118,4,Topic 02,0.0
118,4,Topic 03,0.06666666666666667
118,4,Topic 04,0.0
118,4,Topic 05,0.0
118,4,Topic 06,0.12916666666666668
118,4,Topic 07,0.25
118,4,Topic 08,0.025
118,4,Topic 09,0.125
118,4,Topic 10,0.0
118,4,Topic 11,0.6375000000000001
118,4,Topic 12,0.23333333333333334
118,4,Topic 13,0.16666666666666666
118,4,Topic 14,0.02
118,4,Topic 15,0.15
118,4,Topic 16,0.4916666666666667
118,4,Topic 17,0.0
118,4,Topic 18,0.18333333333333332
118,4,Topic 19,0.21
118,4,Topic 20,0.016666666666666666
118,4,Topic 21,0.08333333333333333
118,4,Topic 22,0.0
118,4,Topic 23,0.16666666666666666
118,4,Topic 24,0.16666666666666666
118,4,Topic 25,0.16666666666666666
118,4,Topic 26,0.4033333333333333
118,4,Topic 27,0.0125
118,4,Topic 28,0.0
118,4,Topic 29,0.29583333333333334
119,3,Topic 00,0.2
119,3,Topic 01,0.016666666666666666
119,3,Topic 02,0.1125
119,3,Topic 03,0.0
119,3,Topic 04,0.04
119,3,Topic 05,0.0
119,3,Topic 06,0.3
119,3,Topic 07,0.0
119,3,Topic 08,0.0
119,3,Topic 09,0.049999999999999996
119,3,Topic 10,0.23333333333333334
119,3,Topic 11,0.325
119,3,Topic 12,0.25
119,3,Topic 13,0.016666666666666666
119,3,Topic 14,0.18666666666666665
119,3,Topic 15,0.15
119,3,Topic 16,0.0125
119,3,Topic 17,0.26666666666666666
119,3,Topic 18,0.049999999999999996
119,3,Topic 19,0.18
119,3,Topic 20,0.025
119,3,Topic 21,0.0
119,3,Topic 22,0.1
119,3,Topic 23,0.0
119,3,Topic 24,0.2
119,3,Topic 25,0.0
119,3,Topic 26,0.28500000000000003
119,3,Topic 27,0.0
119,3,Topic 28,0.0
119,3,Topic 29,0.0
120,3,Topic 00,0.02
120,3,Topic 01,0.2
120,3,Topic 02,0.016666666666666666
120,3,Topic 03,0.36
120,3,Topic 04,0.12
120,3,Topic 05,0.0
120,3,Topic 06,0.02
120,3,Topic 07,0.0
120,3,Topic 08,0.0
120,3,Topic 09,0.31666666666666665
120,3,Topic 10,0.23333333333333334
120,3,Topic 11,0.08
120,3,Topic 12,0.02
120,3,Topic 13,0.02
120,3,Topic 14,0.3833333333333333
120,3,Topic 15,0.0
120,3,Topic 16,0.0
120,3,Topic 17,0.09999999999999999
120,3,Topic 18,0.0
120,3,Topic 19,0.2
120,3,Topic 20,0.18
120,3,Topic 21,0.18
120,3,Topic 22,0.02
120,3,Topic 23,0.02
120,3,Topic 24,0.03333333333333333
120,3,Topic 25,0.2
120,3,Topic 26,0.0
120,3,Topic 27,0.02
120,3,Topic 28,0.04
120,3,Topic 29,0.21666666666666665
121,3,Topic 00,0.0
121,3,Topic 01,0.3055555555555556
121,3,Topic 02,0.0
121,3,Topic 03,0.0
121,3,Topic 04,0.5800000000000001
121,3,Topic 05,0.1111111111111111
121,3,Topic 06,0.13333333333333333
121,3,Topic 07,0.11666666666666665
121,3,Topic 08,0.42222222222222217
121,3,Topic 09,0.26111111111111107
121,3,Topic 10,0.2
121,3,Topic 11,0.1111111111111111
121,3,Topic 12,0.016666666666666666
121,3,Topic 13,0.0
121,3,Topic 14,0.02
121,3,Topic 15,0.016666666666666666
121,3,Topic 16,0.0
121,3,Topic 17,0.3333333333333333
121,3,Topic 18,0.011111111111111112
121,3,Topic 19,0.02
121,3,Topic 20,0.016666666666666666
121,3,Topic 21,0.0
121,3,Topic 22,0.011111111111111112
121,3,Topic 23,0.016666666666666666
121,3,Topic 24,0.02
121,3,Topic 25,0.08888888888888889
121,3,Topic 26,0.16
121,3,Topic 27,0.011111111111111112
121,3,Topic 28,0.016666666666666666
121,3,Topic 29,0.0
